Taxable Year,Zip Code,State,City,County,Returns,CA AGI,Total Tax Liability,CountyLatitude,CountyLongitude,Geo County,Geo City,Geo ZipCode
2017,90010,CA,Los Angeles,Los Angeles,2593,655092993,71626418,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.31166900000001 34.061809)
2017,90014,CA,Los Angeles,Los Angeles,3617,266016253,16546502,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.251756 34.04306100000001)
2017,90067,CA,Los Angeles,Los Angeles,3860,2912553966,360937958,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.414336 34.057398)
2017,90077,CA,Los Angeles,Los Angeles,4131,2480660070,308054602,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.454618 34.102804)
2017,90013,CA,Los Angeles,Los Angeles,4619,374364808,24857835,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.24159899999998 34.04469)
2017,90056,CA,Los Angeles,Los Angeles,4711,445852003,21911725,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.373557 33.992817)
2017,90094,CA,Los Angeles,Los Angeles,4888,816814991,56540534,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.419044 33.974675)
2017,90040,CA,Los Angeles,Los Angeles,5686,325238750,17265217,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.15070299999998 33.995379)
2017,90015,CA,Los Angeles,Los Angeles,9456,647908722,39980070,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.26629800000002 34.038913)
2017,90017,CA,Los Angeles,Los Angeles,10008,694595770,42644482,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.26420000000002 34.052895)
2017,90061,CA,Los Angeles,Los Angeles,11653,372008407,5042107,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.274317 33.923076)
2017,90068,CA,Los Angeles,Los Angeles,12176,1479555053,101549296,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.33000500000001 34.12516)
2017,90012,CA,Los Angeles,Los Angeles,12277,709938801,34898363,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.23953200000001 34.064406)
2017,90048,CA,Los Angeles,Los Angeles,13039,1656976363,121845786,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.373334 34.072615)
2017,90041,CA,Los Angeles,Los Angeles,13108,923723158,38432166,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.207164 34.137321)
2017,90038,CA,Los Angeles,Los Angeles,13643,626709998,24199721,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.32649 34.088618)
2017,90007,CA,Los Angeles,Los Angeles,13790,412053330,8093496,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.28507000000002 34.027762)
2017,90035,CA,Los Angeles,Los Angeles,14335,1503209994,92581452,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),
2017,90062,CA,Los Angeles,Los Angeles,14595,489792739,7492301,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.308985 34.003587)
2017,90008,CA,Los Angeles,Los Angeles,14881,763854517,26122244,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.346393 34.0088)
2017,90064,CA,Los Angeles,Los Angeles,15207,3131941397,292942882,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.42689900000002 34.035932)
2017,90039,CA,Los Angeles,Los Angeles,15435,1151262040,63470607,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.260085 34.109617)
2017,90057,CA,Los Angeles,Los Angeles,15791,476666288,8998787,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.277209 34.062568)
2017,90028,CA,Los Angeles,Los Angeles,15863,750984283,33771906,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.32708300000002 34.09981)
2017,90024,CA,Los Angeles,Los Angeles,16432,4449109693,465328829,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.43717499999998 34.063591)
2017,90005,CA,Los Angeles,Los Angeles,16485,873852781,42701187,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.308884 34.059746)
2017,90059,CA,Los Angeles,Los Angeles,16520,503881229,5090385,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.248178 33.926931)
2017,90031,CA,Los Angeles,Los Angeles,16754,633870733,15662628,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.213962 34.079698)
2017,90029,CA,Los Angeles,Los Angeles,16976,646096790,18458703,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.294656 34.089903)
2017,90033,CA,Los Angeles,Los Angeles,18090,567799764,8906767,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.21143200000002 34.050157)
2017,90023,CA,Los Angeles,Los Angeles,18101,584679509,9640298,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.202424 34.023995)
2017,90020,CA,Los Angeles,Los Angeles,18579,1237011801,74001282,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),
2017,90045,CA,Los Angeles,Los Angeles,18766,2074763206,119621365,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.398979 33.957455)
2017,90049,CA,Los Angeles,Los Angeles,19253,7483574456,740474102,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.480783 34.07698)
2017,90002,CA,Los Angeles,Los Angeles,19915,576005270,5042436,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.247877 33.949079)
2017,90032,CA,Los Angeles,Los Angeles,19988,854291737,20773742,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.177882 34.080773)
2017,90036,CA,Los Angeles,Los Angeles,20490,2159952081,144692490,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.349681 34.069624)
2017,90043,CA,Los Angeles,Los Angeles,21264,1052871685,31119186,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.335291 33.988604)
2017,90063,CA,Los Angeles,Los Angeles,21388,733841242,11941649,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.185304 34.044874)
2017,90001,CA,Los Angeles,Los Angeles,21596,633896704,5884996,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.24915400000002 33.973252)
2017,90065,CA,Los Angeles,Los Angeles,21600,1294949376,49493584,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.226785 34.109642)
2017,90018,CA,Los Angeles,Los Angeles,22017,845157251,21288623,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.317664 34.028153)
2017,90016,CA,Los Angeles,Los Angeles,22614,975715780,27017713,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.35294000000002 34.029223)
2017,90006,CA,Los Angeles,Los Angeles,23054,699204304,12456168,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.293869 34.048637)
2017,90047,CA,Los Angeles,Los Angeles,23830,945747181,18436622,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.30891600000001 33.955791)
2017,90027,CA,Los Angeles,Los Angeles,24229,2123316008,136568935,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.29056 34.121686)
2017,90037,CA,Los Angeles,Los Angeles,24475,688593679,7071330,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.28678199999999 34.002504)
2017,90025,CA,Los Angeles,Los Angeles,26807,4547960264,396826061,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),
2017,90003,CA,Los Angeles,Los Angeles,27118,748887938,6168251,34.0594833,-118.242048,POINT (-118.24204800000001 34.0594833),POINT (-118.243344 34.052238),POINT (-118.274809 33.963074)
